iso_code,first_letter,date,indicator,value,indicator_name
Algeria,A,18-May-22,Daily Confirmed Cases,4,Daily Confirmed Cases
Angola,A,18-May-22,Daily Confirmed Cases,0,Daily Confirmed Cases
Benin,B,18-May-22,Daily Confirmed Cases,0,Daily Confirmed Cases
Botswana,B,16-May-22,Daily Confirmed Cases,17.714,Daily Confirmed Cases
Burkina Faso,B,18-May-22,Daily Confirmed Cases,0,Daily Confirmed Cases
Burundi,B,18-May-22,Daily Confirmed Cases,55.714,Daily Confirmed Cases
C.A.R,C,18-May-22,Daily Confirmed Cases,0,Daily Confirmed Cases
Cameroon,C,18-May-22,Daily Confirmed Cases,0,Daily Confirmed Cases
Cape Verde,C,18-May-22,Daily Confirmed Cases,4.857,Daily Confirmed Cases
Chad,C,18-May-22,Daily Confirmed Cases,0.143,Daily Confirmed Cases
Comoros,C,18-May-22,Daily Confirmed Cases,0.286,Daily Confirmed Cases
Congo,C,18-May-22,Daily Confirmed Cases,0,Daily Confirmed Cases
Cote d'Ivoire,C,18-May-22,Daily Confirmed Cases,6.143,Daily Confirmed Cases
D.R.C,D,16-May-22,Daily Confirmed Cases,87.143,Daily Confirmed Cases
Djibouti,D,18-May-22,Daily Confirmed Cases,0,Daily Confirmed Cases
Egypt,E,18-May-22,Daily Confirmed Cases,0,Daily Confirmed Cases
Eq. Guinea,E,18-May-22,Daily Confirmed Cases,0,Daily Confirmed Cases
Eritrea,E,18-May-22,Daily Confirmed Cases,1.857,Daily Confirmed Cases
Ethiopia,E,18-May-22,Daily Confirmed Cases,36.571,Daily Confirmed Cases
Gabon,G,18-May-22,Daily Confirmed Cases,0,Daily Confirmed Cases
Gambia,G,18-May-22,Daily Confirmed Cases,0.429,Daily Confirmed Cases
Ghana,G,18-May-22,Daily Confirmed Cases,7.714,Daily Confirmed Cases
Guinea,G,18-May-22,Daily Confirmed Cases,16,Daily Confirmed Cases
Guinea-Bissau,G,18-May-22,Daily Confirmed Cases,3.571,Daily Confirmed Cases
Kenya,K,18-May-22,Daily Confirmed Cases,22.571,Daily Confirmed Cases
Lesotho,L,18-May-22,Daily Confirmed Cases,22,Daily Confirmed Cases
Liberia,L,18-May-22,Daily Confirmed Cases,2.571,Daily Confirmed Cases
Libya,L,18-May-22,Daily Confirmed Cases,5,Daily Confirmed Cases
Madagascar,M,18-May-22,Daily Confirmed Cases,5.714,Daily Confirmed Cases
Malawi,M,18-May-22,Daily Confirmed Cases,8,Daily Confirmed Cases
Mali,M,18-May-22,Daily Confirmed Cases,11.571,Daily Confirmed Cases
Mauritania,M,18-May-22,Daily Confirmed Cases,19,Daily Confirmed Cases
Mauritius,M,09-May-22,Daily Confirmed Cases,157,Daily Confirmed Cases
Morocco,M,18-May-22,Daily Confirmed Cases,92.143,Daily Confirmed Cases
Mozambique,M,18-May-22,Daily Confirmed Cases,12.571,Daily Confirmed Cases
Namibia,N,18-May-22,Daily Confirmed Cases,162.429,Daily Confirmed Cases
Niger,N,18-May-22,Daily Confirmed Cases,3.714,Daily Confirmed Cases
Nigeria,N,18-May-22,Daily Confirmed Cases,12.429,Daily Confirmed Cases
Rwanda,R,18-May-22,Daily Confirmed Cases,9.571,Daily Confirmed Cases
Saint Helena,S,18-May-22,Daily Confirmed Cases,0,Daily Confirmed Cases
Sao Tome & P.,S,18-May-22,Daily Confirmed Cases,0.429,Daily Confirmed Cases
Senegal,S,18-May-22,Daily Confirmed Cases,4.571,Daily Confirmed Cases
Seychelles,S,18-May-22,Daily Confirmed Cases,46.857,Daily Confirmed Cases
Sierra Leone,S,18-May-22,Daily Confirmed Cases,0,Daily Confirmed Cases
Somalia,S,18-May-22,Daily Confirmed Cases,0.429,Daily Confirmed Cases
South Africa,S,18-May-22,Daily Confirmed Cases,6550.714,Daily Confirmed Cases
South Sudan,S,18-May-22,Daily Confirmed Cases,5.429,Daily Confirmed Cases
Sudan,S,18-May-22,Daily Confirmed Cases,7.143,Daily Confirmed Cases
Swaziland,S,18-May-22,Daily Confirmed Cases,64.857,Daily Confirmed Cases
Tanzania,T,18-May-22,Daily Confirmed Cases,0,Daily Confirmed Cases
Togo,T,18-May-22,Daily Confirmed Cases,2.429,Daily Confirmed Cases
Tunisia,T,18-May-22,Daily Confirmed Cases,84.571,Daily Confirmed Cases
Uganda,U,18-May-22,Daily Confirmed Cases,0,Daily Confirmed Cases
Zambia,Z,18-May-22,Daily Confirmed Cases,53.857,Daily Confirmed Cases
Zimbabwe,Z,18-May-22,Daily Confirmed Cases,195,Daily Confirmed Cases
Algeria,A,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Angola,A,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Benin,B,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Botswana,B,18-May-22,Daily Confirmed Deaths,0.286,Daily Confirmed Deaths
Burkina Faso,B,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Burundi,B,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
C.A.R,C,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Cameroon,C,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Cape Verde,C,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Chad,C,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Comoros,C,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Congo,C,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Cote d'Ivoire,C,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
D.R.C,D,18-May-22,Daily Confirmed Deaths,0.143,Daily Confirmed Deaths
Djibouti,D,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Egypt,E,16-May-22,Daily Confirmed Deaths,3,Daily Confirmed Deaths
Eq. Guinea,E,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Eritrea,E,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Ethiopia,E,18-May-22,Daily Confirmed Deaths,0.286,Daily Confirmed Deaths
Gabon,G,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Gambia,G,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Ghana,G,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Guinea,G,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Guinea-Bissau,G,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Kenya,K,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Lesotho,L,18-May-22,Daily Confirmed Deaths,0.143,Daily Confirmed Deaths
Liberia,L,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Libya,L,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Madagascar,M,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Malawi,M,18-May-22,Daily Confirmed Deaths,0.286,Daily Confirmed Deaths
Mali,M,18-May-22,Daily Confirmed Deaths,0.143,Daily Confirmed Deaths
Mauritania,M,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Mauritius,M,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Morocco,M,18-May-22,Daily Confirmed Deaths,0.571,Daily Confirmed Deaths
Mozambique,M,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Namibia,N,18-May-22,Daily Confirmed Deaths,0.429,Daily Confirmed Deaths
Niger,N,18-May-22,Daily Confirmed Deaths,0.143,Daily Confirmed Deaths
Nigeria,N,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Rwanda,R,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Sao Tome & P.,S,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Senegal,S,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Seychelles,S,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Sierra Leone,S,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
Somalia,S,18-May-22,Daily Confirmed Deaths,0,Daily Confirmed Deaths
